,client_id,workflow_id,job_id,task_id,worker_id,worker_arrival_time,exec_start_time,exec_end_time,deadline
119,1,7,1009,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,323.738126665949,327.0272070539073,334.3067338549008,452
120,2,8,2008,4,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,312.01434525459786,312.01434525459786,336.36121137273324,421
121,0,6,6,1,f274c22f-f087-4578-be11-1a63c308cc36,212.0,310.8652623106416,340.39959931964506,336
122,0,6,9,2,717d64da-bb85-4ad2-a257-b5034f1d57cd,333.13976900919914,333.13976900919914,342.3583965322087,427
123,0,6,10,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,333.0,334.3067338549008,342.5402985158376,457
124,2,8,2010,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,327.0,327.0,347.0010431860997,487
125,0,6,5,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf,321.4464148009387,321.4464148009387,347.5209211135855,308
126,0,6,5,4,aa421654-f71c-474c-b528-55d93c8d2a7e,347.5209211135855,347.5209211135855,350.1923186433256,308
127,0,6,6,2,717d64da-bb85-4ad2-a257-b5034f1d57cd,340.39959931964506,342.3583965322087,350.6874361941622,336
128,2,8,2010,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,347.0010431860997,347.0010431860997,354.1473710769987,487
129,1,7,1010,0,4477df26-a9e1-4942-86b6-f9bc38e48340,344.0,344.0,354.3503432189097,484
130,1,7,1009,2,6aae7612-e4d6-48e8-b447-8aae7480fc76,323.738126665949,323.738126665949,355.05583922580365,452
131,1,7,1009,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,355.05583922580365,355.05583922580365,358.6995820887875,452
132,1,7,1010,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,354.3503432189097,354.3503432189097,361.82490984280804,484
133,2,8,2009,2,0daca965-279b-432d-a55b-cbacf2a3ec8c,320.2420782194825,333.13976900919914,362.98170725686555,458
134,0,6,9,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f,342.3583965322087,342.3583965322087,367.41789648416756,427
135,0,6,11,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,359.0,361.82490984280804,369.4939203052563,483
136,0,6,9,4,aa421654-f71c-474c-b528-55d93c8d2a7e,367.41789648416756,367.41789648416756,369.8466038799307,427
137,2,8,2007,2,f274c22f-f087-4578-be11-1a63c308cc36,255.883710616836,340.39959931964506,370.01406521401714,395
138,2,8,2009,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,362.98170725686555,362.98170725686555,372.46730926216964,458
139,2,8,2011,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,355.0,355.0,374.4628627229197,515
140,0,6,6,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,350.6874361941622,350.6874361941622,375.97421142033704,336
141,2,8,2007,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,370.01406521401714,372.46730926216964,378.2467141755488,395
142,1,7,1011,0,4477df26-a9e1-4942-86b6-f9bc38e48340,368.0,368.0,378.2716604304599,508
143,0,6,6,4,aa421654-f71c-474c-b528-55d93c8d2a7e,375.97421142033704,375.97421142033704,378.54424683845775,336
144,2,8,2011,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,374.4628627229197,374.4628627229197,381.67931076847015,515
