,job_id,task_id,client_id,workflow_id,model_id,executing_worker_id,arrival_at_scheduler_timestamp,last_dep_dispatch_timestamp,arrival_at_worker_timestamp,execution_start_timestamp,execution_end_timestamp,dropped_timestamp,curr_unfinished_jobs,curr_idle_instances
90,1007,0,b50bd890-7249-4d97-a745-64e22926a898,7,0,47c22603-4912-41f0-8de8-27afe92a9a70,241.0,242.01901760086133,242.01901760086133,242.01901760086133,251.8733235224025,,11,3
91,1007,1,b50bd890-7249-4d97-a745-64e22926a898,7,1,af23522e-0036-4903-b938-edafc66e22a0,241.0,242.33093725206243,242.33093725206243,242.33093725206243,295.3318393836992,,11,3
92,2005,4,fe0fc848-2082-4781-8648-6e30096056e2,8,16,8018012a-f0ff-4b2b-b4c8-5beaa68aba26,241.05835082180954,247.61240596482796,247.61240596482796,247.61240596482796,270.4010124243044,,11,4
93,7,0,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,0,47c22603-4912-41f0-8de8-27afe92a9a70,242.0,242.01901760086133,242.01901760086133,242.01901760086133,251.8733235224025,,12,4
94,7,1,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,1,af23522e-0036-4903-b938-edafc66e22a0,242.0,242.33093725206243,242.33093725206243,242.33093725206243,295.3318393836992,,12,4
95,1005,2,b50bd890-7249-4d97-a745-64e22926a898,7,2,47c22603-4912-41f0-8de8-27afe92a9a70,242.33093725206243,254.25931278671328,254.25931278671328,254.25931278671328,279.3588146180628,,12,4
96,5,2,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,2,47c22603-4912-41f0-8de8-27afe92a9a70,242.33093725206243,254.25931278671328,254.25931278671328,254.25931278671328,279.3588146180628,,12,4
97,1006,2,b50bd890-7249-4d97-a745-64e22926a898,7,2,47c22603-4912-41f0-8de8-27afe92a9a70,245.42346797787397,254.25931278671328,254.25931278671328,254.25931278671328,279.3588146180628,,12,5
98,2006,3,fe0fc848-2082-4781-8648-6e30096056e2,8,3,8de19383-957e-4e2f-8e16-85e472609e1c,254.25931278671328,254.25931278671328,254.25931278671328,254.25931278671328,279.4297006497877,,11,6
99,2008,0,fe0fc848-2082-4781-8648-6e30096056e2,8,0,47c22603-4912-41f0-8de8-27afe92a9a70,261.0,261.0,261.0,261.0,268.4715655489172,,12,5
100,2008,1,fe0fc848-2082-4781-8648-6e30096056e2,8,1,9569f09b-010f-4622-9399-5082719f4646,261.0,261.0,261.0,261.0,293.6203196607239,,12,5
101,2004,4,fe0fc848-2082-4781-8648-6e30096056e2,8,16,8018012a-f0ff-4b2b-b4c8-5beaa68aba26,262.87768773466513,270.4010124243044,270.4010124243044,270.4010124243044,290.2386466097428,,12,4
102,1004,4,b50bd890-7249-4d97-a745-64e22926a898,7,15,eae01299-0ccd-48bf-a0df-dc89c6708f4b,262.87768773466513,262.87768773466513,262.87768773466513,262.87768773466513,273.312247817517,,12,4
103,1008,0,b50bd890-7249-4d97-a745-64e22926a898,7,0,47c22603-4912-41f0-8de8-27afe92a9a70,272.0,272.0,272.0,272.0,279.4209141690665,,12,4
104,1008,1,b50bd890-7249-4d97-a745-64e22926a898,7,1,9569f09b-010f-4622-9399-5082719f4646,272.0,293.6203196607239,293.6203196607239,293.6203196607239,350.1654599440098,,12,4
105,8,0,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,0,47c22603-4912-41f0-8de8-27afe92a9a70,275.0,279.4209141690665,279.4209141690665,279.4209141690665,286.47360524424937,,12,4
106,8,1,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,1,9569f09b-010f-4622-9399-5082719f4646,275.0,293.6203196607239,293.6203196607239,293.6203196607239,350.1654599440098,,12,4
107,1005,3,b50bd890-7249-4d97-a745-64e22926a898,7,3,5feef905-9343-4f7e-b924-85c91b8a9f80,279.3588146180628,279.3588146180628,279.3588146180628,279.3588146180628,348.7158847544692,,12,5
108,5,3,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,3,5feef905-9343-4f7e-b924-85c91b8a9f80,279.3588146180628,279.3588146180628,279.3588146180628,279.3588146180628,348.7158847544692,,12,5
109,1006,3,b50bd890-7249-4d97-a745-64e22926a898,7,3,5feef905-9343-4f7e-b924-85c91b8a9f80,279.3588146180628,279.3588146180628,279.3588146180628,279.3588146180628,348.7158847544692,,12,5
110,2006,4,fe0fc848-2082-4781-8648-6e30096056e2,8,16,8018012a-f0ff-4b2b-b4c8-5beaa68aba26,279.4297006497877,290.2386466097428,290.2386466097428,290.2386466097428,313.2965038275164,,12,5
111,2008,2,fe0fc848-2082-4781-8648-6e30096056e2,8,2,47c22603-4912-41f0-8de8-27afe92a9a70,293.6203196607239,293.6203196607239,293.6203196607239,293.6203196607239,302.38348938357274,,11,6
112,6,2,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,2,47c22603-4912-41f0-8de8-27afe92a9a70,293.87876474168286,302.38348938357274,302.38348938357274,302.38348938357274,312.43814602831293,,11,6
113,2007,2,fe0fc848-2082-4781-8648-6e30096056e2,8,2,47c22603-4912-41f0-8de8-27afe92a9a70,293.87876474168286,302.38348938357274,302.38348938357274,302.38348938357274,312.43814602831293,,11,6
114,1007,2,b50bd890-7249-4d97-a745-64e22926a898,7,2,47c22603-4912-41f0-8de8-27afe92a9a70,295.3318393836992,302.38348938357274,302.38348938357274,302.38348938357274,312.43814602831293,,11,7
115,7,2,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,2,47c22603-4912-41f0-8de8-27afe92a9a70,295.3318393836992,302.38348938357274,302.38348938357274,302.38348938357274,312.43814602831293,,11,7
116,2009,0,fe0fc848-2082-4781-8648-6e30096056e2,8,0,47c22603-4912-41f0-8de8-27afe92a9a70,298.0,298.0,298.0,298.0,304.88095892937133,,12,7
117,2009,1,fe0fc848-2082-4781-8648-6e30096056e2,8,1,af23522e-0036-4903-b938-edafc66e22a0,298.0,298.0,298.0,298.0,329.4425275031587,,12,7
118,2008,3,fe0fc848-2082-4781-8648-6e30096056e2,8,3,8de19383-957e-4e2f-8e16-85e472609e1c,302.38348938357274,302.38348938357274,302.38348938357274,302.38348938357274,325.641236839572,,12,5
119,9,0,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,0,47c22603-4912-41f0-8de8-27afe92a9a70,303.0,304.88095892937133,304.88095892937133,304.88095892937133,312.20422675298005,,13,4
120,9,1,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,1,1d2f18f0-da31-4a00-8b1f-e2fe9e6caae9,303.0,303.0,303.0,303.0,334.1434703216148,,13,4
