,time,client_id,workflow_id,job_id,task_id,model_id,worker_id
5470,9099.97035920515,0,6,278,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5471,9101.0,2,8,2291,0,16,N/A
5472,9101.0,2,8,2291,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5473,9105.23371889033,2,8,2270,4,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5474,9106.0,0,6,296,0,0,N/A
5475,9106.0,0,6,296,1,1,N/A
5476,9106.0,0,6,296,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5477,9106.0,0,6,296,1,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5478,9112.436316316203,2,8,2289,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5479,9112.5991745555,0,6,273,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5480,9116.530786186646,1,7,1276,4,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5481,9119.149443534809,2,8,2291,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5482,9119.149443534809,2,8,2291,2,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
5483,9123.0,1,7,1291,0,15,N/A
5484,9123.0,1,7,1291,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5485,9123.08889647377,0,6,292,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5486,9123.222516052563,0,6,279,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5487,9131.334288047816,0,6,273,3,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5488,9132.0,2,8,2292,0,16,N/A
5489,9132.0,2,8,2292,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5490,9132.570115033855,1,7,1291,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5491,9132.570115033855,1,7,1291,2,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5492,9135.0,0,6,297,0,0,N/A
5493,9135.0,0,6,297,1,1,N/A
5494,9135.0,0,6,297,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5495,9135.0,0,6,297,1,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5496,9140.6760320166,0,6,279,3,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5497,9143.181706123725,1,7,1290,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5498,9143.545959823708,2,8,2289,4,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5499,9143.673220787785,1,7,1271,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5500,9149.830452915498,1,7,1290,4,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5501,9152.810740779,2,8,2292,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5502,9152.810740779,2,8,2292,2,1,f274c22f-f087-4578-be11-1a63c308cc36
5503,9153.0,1,7,1292,0,15,N/A
5504,9153.0,1,7,1292,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5505,9155.615791094231,2,8,2278,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
